Date,Item,Price,Cost,Day_Sale
1/1/2022,106,15,12.15,4
1/1/2022,206,181,146.61,3
1/1/2022,306,49,39.69,2
1/1/2022,400,55,46.2,3
1/1/2022,507,8,6.88,2
1/1/2022,107,15,12.15,5
1/1/2022,207,123,105.78,1
1/1/2022,306,49,39.69,2
1/1/2022,411,58,49.3,3
1/1/2022,510,17,14.62,3
1/1/2022,108,12,9.84,2
1/1/2022,200,176,144.32,1
1/1/2022,300,45,40.5,5
1/1/2022,412,63,56.7,5
1/1/2022,505,9,7.38,3
1/1/2022,106,15,12.15,4
1/1/2022,204,198,174.24,2
1/1/2022,302,41,36.9,5
1/1/2022,403,43,34.4,4
1/1/2022,500,18,15.84,4
1/1/2022,106,15,12.15,4
1/1/2022,202,162,136.08,1
1/1/2022,308,34,27.2,3
1/1/2022,409,38,30.78,2
1/1/2022,511,5,4.45,4
1/1/2022,104,16,13.28,6
1/1/2022,208,161,133.63,1
1/1/2022,308,34,27.2,3
1/1/2022,408,57,48.45,3
1/1/2022,508,10,8,1
1/1/2022,103,16,13.76,7
1/1/2022,215,174,146.16,4
1/1/2022,302,41,36.9,5
1/1/2022,404,60,48,1
1/1/2022,502,8,6.8,5
1/1/2022,107,15,12.15,5
1/1/2022,215,174,146.16,4
1/1/2022,312,46,40.48,3
1/1/2022,410,50,45,1
1/1/2022,504,8,6.56,5
1/1/2022,108,12,9.84,2
1/1/2022,209,144,119.52,1
1/1/2022,309,20,17,4
1/1/2022,409,38,30.78,2
1/1/2022,511,5,4.45,4
1/1/2022,100,0,0,0
1/1/2022,204,198,174.24,2
1/1/2022,301,26,21.32,2
1/1/2022,411,58,49.3,3
1/1/2022,505,9,7.38,3
1/1/2022,106,15,12.15,4
1/1/2022,206,181,146.61,3
1/1/2022,312,46,40.48,3
1/1/2022,402,49,41.65,2
1/1/2022,511,5,4.45,4
1/1/2022,101,15,13.05,5
1/1/2022,217,118,103.84,4
1/1/2022,309,20,17,4
1/1/2022,412,63,56.7,5
1/1/2022,504,8,6.56,5
1/1/2022,102,17,13.94,1
1/1/2022,213,151,123.82,6
1/1/2022,309,20,17,4
1/1/2022,406,57,49.02,4
1/1/2022,507,8,6.88,2
1/1/2022,101,15,13.05,5
1/1/2022,218,194,168.78,2
1/1/2022,305,42,34.02,2
1/1/2022,402,49,41.65,2
1/1/2022,501,8,7.12,6
1/1/2022,109,16,13.92,4
1/1/2022,206,181,146.61,3
1/1/2022,311,28,23.8,3
1/1/2022,406,57,49.02,4
1/1/2022,501,8,7.12,6
1/1/2022,103,16,13.76,7
1/1/2022,213,151,123.82,6
1/1/2022,300,45,40.5,5
1/1/2022,411,58,49.3,3
1/1/2022,510,17,14.62,3
1/1/2022,101,15,13.05,5
1/1/2022,210,128,115.2,2
1/1/2022,300,45,40.5,5
1/1/2022,405,51,43.35,3
1/1/2022,500,18,15.84,4
1/1/2022,109,16,13.92,4
1/1/2022,217,118,103.84,4
1/1/2022,310,28,24.08,2
1/1/2022,403,43,34.4,4
1/1/2022,509,10,8.8,1
1/1/2022,109,16,13.92,4
1/1/2022,213,151,123.82,6
1/1/2022,303,36,32.04,5
1/1/2022,412,63,56.7,5
1/1/2022,501,8,7.12,6
1/1/2022,101,15,13.05,5
1/1/2022,214,140,113.4,4
1/1/2022,311,28,23.8,3
1/1/2022,413,43,35.69,3
1/1/2022,506,6,5.4,3
1/1/2022,109,16,13.92,4
1/1/2022,203,184,161.92,3
1/1/2022,308,34,27.2,3
1/1/2022,401,44,39.6,3
1/1/2022,502,8,6.8,5
1/1/2022,103,16,13.76,7
1/1/2022,215,174,146.16,4
1/1/2022,304,31,25.42,2
1/1/2022,401,44,39.6,3
1/1/2022,500,18,15.84,4
1/1/2022,100,0,0,0
1/1/2022,201,197,157.6,1
1/1/2022,303,36,32.04,5
1/1/2022,413,43,35.69,3
1/1/2022,504,8,6.56,5
1/1/2022,103,16,13.76,7
1/1/2022,211,191,158.53,2
1/1/2022,312,46,40.48,3
1/1/2022,406,57,49.02,4
1/1/2022,506,6,5.4,3
1/1/2022,103,16,13.76,7
1/1/2022,214,140,113.4,4
1/1/2022,307,30,25.5,1
1/1/2022,414,31,26.35,3
1/1/2022,506,6,5.4,3
1/1/2022,101,15,13.05,5
1/1/2022,217,118,103.84,4
1/1/2022,300,45,40.5,5
1/1/2022,414,31,26.35,3
1/1/2022,503,16,13.92,1
1/1/2022,104,16,13.28,6
1/1/2022,214,140,113.4,4
1/1/2022,302,41,36.9,5
1/1/2022,400,55,46.2,3
1/1/2022,501,8,7.12,6
1/1/2022,103,16,13.76,7
1/1/2022,215,174,146.16,4
1/1/2022,300,45,40.5,5
1/1/2022,401,44,39.6,3
1/1/2022,505,9,7.38,3
1/1/2022,105,20,18,3
1/1/2022,213,151,123.82,6
1/1/2022,311,28,23.8,3
1/1/2022,405,51,43.35,3
1/1/2022,504,8,6.56,5
1/1/2022,103,16,13.76,7
1/1/2022,210,128,115.2,2
1/1/2022,301,26,21.32,2
1/1/2022,405,51,43.35,3
1/1/2022,501,8,7.12,6
1/1/2022,104,16,13.28,6
1/1/2022,213,151,123.82,6
1/1/2022,303,36,32.04,5
1/1/2022,403,43,34.4,4
